.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"William Moebs","Formerly of Loyola Marymount University","",true,true
"Samuel J. Ling","Truman State University","",true,true
"Robert Chudek","Politechnika Warszawska","",false,false
"Piotr Grygiel","Politechnika Gdańska","",false,false
"Krzysztof Grygiel","Uniwersytet Adama Mickiewicza w Poznaniu","",false,false
"Marian Grynberg","Uniwersytet Warszawski","",false,false
"Katarzyna Gwóźdź","Politechnika Wrocławska","",false,false
"Andrzej Janutka","Politechnika Wrocławska","",false,false
"Jacek Majewski","Uniwersytet Warszawski","",false,false
"Ewa Popko","Politechnika Wrocławska","",false,false
"Andrzej Radosz","Politechnika Wrocławska","",false,false
"Włodzimierz Salejda","Politechnika Wrocławska","",false,false
"Piotr Sitarek","Politechnika Wrocławska","",false,false
"Radosław Strzałka","Akademia Górniczo Hutnicza w Krakowie","",false,false
"Jeff Sanny","Loyola Marymount University","",true,true
"Tomasz Błachowicz","Politechnika Śląska","",false,false
"Juliusz Braun","Uniwersytet Warszawski","",false,false
"Roman Bukowski","Politechnika Śląska","",false,false
"Zbigniew Kąkol","Akademia Górniczo Hutnicza w Krakowie","",false,false
"Adam Lipowski","Uniwersytet Adama Mickiewicza w Poznaniu","",false,false
"Brygida Mielewska","Politechnika Gdańska","",false,false
"Krzysztof Pomorski","Akademia Górniczo Hutnicza w Krakowie","",false,false
"Dominika Trefon-Radziejewska","Politechnika Śląska","",false,false
"Mateusz Wlazło","Uniwersytet Warszawski","",false,false
"Antoni Wójcik","Uniwersytet Adama Mickiewicza w Poznaniu","",false,false
